convert_TF,touch1,touch2,touch3,touch4,touch5,tier
True,email,referral,referral,,,1
True,referral,referral,email,,,1
True,referral,,,,,1
True,email,,,,,1
True,referral,referral,social,referral,,1
True,referral,referral,email,,,1
True,email,,,,,1
True,referral,display,referral,referral,email,1
True,referral,referral,email,,,1
True,referral,social,,,,1
True,paid_search,referral,email,,,1
True,referral,email,,,,1
True,referral,,,,,1
True,referral,referral,,,,1
True,referral,referral,referral,email,,1
True,referral,email,,,,1
True,email,display,referral,email,,1
True,email,referral,email,referral,,1
True,email,referral,referral,,,1
True,referral,email,,,,1
True,email,,,,,1
True,email,social,referral,,,1
True,direct,email,,,,1
True,referral,referral,referral,referral,email,1
True,referral,referral,email,,,1
True,display,display,email,,,1
True,referral,referral,email,email,,1
True,display,social,email,,,1
True,referral,email,,,,1
True,email,social,referral,referral,,1
True,referral,social,email,referral,,1
True,display,referral,email,,,1
True,referral,referral,referral,email,,1
True,email,,,,,1
True,display,referral,email,,,1
True,email,referral,referral,,,1
True,referral,referral,display,email,,1
True,email,referral,,,,1
True,referral,display,email,,,1
True,referral,referral,email,,,1
True,referral,referral,,,,1
True,email,email,display,,,1
True,referral,referral,email,,,1
True,referral,referral,social,email,,1
True,email,email,,,,1
True,referral,social,referral,email,,1
True,referral,referral,email,,,1
True,email,referral,referral,,,1
True,referral,referral,email,,,1
True,referral,email,,,,1
True,email,referral,referral,,,1
True,email,referral,,,,1
True,referral,referral,display,referral,email,1
True,display,email,,,,1
True,email,referral,display,social,referral,1
True,referral,email,,,,1
True,social,referral,email,,,1
True,display,referral,email,,,1
True,social,referral,email,,,1
True,referral,referral,email,,,1
True,display,display,email,,,1
True,email,,,,,1
True,email,display,display,referral,,1
True,referral,referral,email,,,1
True,referral,social,email,,,1
True,email,display,display,,,1
True,referral,referral,referral,email,,1
True,email,referral,referral,referral,,1
True,referral,referral,referral,referral,email,1
True,social,referral,,,,1
True,referral,referral,social,social,email,1
True,referral,referral,email,,,1
True,email,,,,,1
True,referral,referral,referral,email,,1
True,email,display,social,,,1
True,referral,email,,,,1
True,email,referral,referral,,,1
True,referral,referral,referral,display,email,1
True,email,display,referral,,,1
True,email,,,,,1
True,display,referral,email,,,1
True,referral,referral,referral,email,,1
True,display,display,social,email,,1
True,display,referral,email,,,1
True,email,email,referral,,,1
True,referral,referral,referral,email,,1
True,email,referral,referral,,,1
True,email,,,,,1
True,referral,referral,referral,,,1
True,referral,referral,email,,,1
True,email,,,,,1
True,email,referral,,,,1
True,email,,,,,1
True,referral,referral,email,,,1
True,email,social,,,,1
True,email,paid_search,,,,1
True,referral,referral,referral,email,,1
True,email,display,,,,1
True,referral,referral,referral,email,email,1
True,email,referral,referral,display,,1
True,referral,referral,email,,,1
True,email,social,,,,1
True,referral,email,referral,email,,1
True,email,referral,referral,referral,,1
True,email,,,,,1
True,referral,referral,email,,,1
True,email,,,,,1
True,email,referral,display,social,referral,1
True,email,referral,referral,,,1
True,referral,social,referral,email,,1
True,email,referral,,,,1
True,referral,referral,email,,,1
True,referral,referral,,,,1
True,referral,referral,referral,email,,1
True,email,referral,social,,,1
True,referral,referral,referral,email,,1
True,email,referral,paid_search,referral,display,1
True,email,email,,,,1
True,email,referral,email,,,1
True,email,referral,,,,1
True,display,email,,,,1
True,email,referral,,,,1
True,referral,referral,referral,referral,email,1
True,display,referral,email,paid_search,,1
True,email,display,,,,1
True,display,referral,referral,email,,1
True,referral,social,referral,email,,1
True,email,,,,,1
True,display,referral,email,,,1
True,referral,referral,email,email,,1
True,email,referral,referral,,,1
True,referral,display,email,,,1
True,social,referral,email,,,1
True,referral,referral,email,,,1
True,email,,,,,1
True,email,referral,,,,1
True,email,referral,paid_search,,,1
True,email,referral,display,,,1
True,email,email,,,,1
True,email,,,,,1
True,email,referral,referral,email,,1
True,email,referral,referral,social,,1
True,referral,referral,email,,,1
True,email,display,referral,referral,,1
True,referral,referral,,,,1
True,email,email,,,,1
True,email,referral,paid_search,,,1
True,email,social,,,,1
True,referral,referral,display,referral,email,1
True,email,referral,,,,1
True,email,,,,,1
True,referral,referral,email,,,1
True,email,,,,,1
True,referral,referral,referral,email,,1
True,referral,referral,email,,,1
True,referral,referral,email,,,1
True,social,social,email,,,1
True,referral,referral,email,,,1
True,referral,email,,,,1
True,referral,email,,,,1
True,referral,display,email,,,1
True,referral,referral,email,,,1
True,email,referral,social,referral,,1
True,referral,referral,email,,,1
True,referral,paid_search,referral,,,1
True,email,social,referral,display,referral,1
True,referral,referral,referral,email,,1
True,referral,email,,,,1
True,referral,referral,referral,email,,1
True,social,referral,email,email,,1
True,referral,email,referral,email,,1
True,email,,,,,1
True,email,social,referral,,,1
True,email,display,referral,,,1
True,display,email,,,,1
True,referral,social,email,,,1
True,email,,,,,1
